,NPC,LCOE,Battery Nominal Capacity,PV Nominal Capacity,LLP,LCOE 2,Expected Demand
0,5360.686921563253,1.189397445327382,3.933822930317666,1.565147868702144,0.0,1.1893974453273732,4507.061069134685
1,3387.769751800221,0.7516582757221587,2.628410918352655,0.8977099701532747,0.5,0.7586500853791339,4465.523456847948
2,3115.000639355264,0.6911378815537859,2.465660571104221,0.8000435626387531,1.0,0.7040533814397926,4424.381334530448
3,2946.056580104765,0.6536535748938506,2.322745772131233,0.7557777904477035,1.5,0.6721238227979831,4383.205118129322
4,2823.367046489754,0.6264319482655327,2.229574686489022,0.7201634357191984,2.0,0.6502279835039844,4342.118638565874
5,2723.584956141851,0.6042928893938363,2.146362044354689,0.6942861229452681,2.5,0.6332435011768678,4301.007355117161
6,2637.554899325277,0.5852050502239331,2.083905464025352,0.668753413502259,3.0,0.6191433764184701,4260.006647543608
7,2561.072926793321,0.5682356834106628,2.02371758894867,0.6479784700527734,3.5,0.6070291607616854,4219.027836454758
8,2493.338286911812,0.5532071229268986,1.968156126773596,0.6306161266423188,4.0,0.5967580185313274,4178.139563248988
9,2431.554565975398,0.5394989170719741,1.917387923311126,0.6149585933477455,4.5,0.5877069668661268,4137.358757105358
10,2374.551192448081,0.5268513463705943,1.868200327319243,0.6015172239321305,5.0,0.5796265568793157,4096.691506394327
11,1921.080020520757,0.4262378501318157,1.444522482126944,0.5099701024911472,10.0,0.5200247665722604,3694.2087069882123
12,1182.693076739904,0.2624089309193628,0.7208577494797315,0.3774748633953271,20.0,0.4056753207007978,2915.368562960202
13,698.9651875940308,0.1550822535733316,0.3623684210526316,0.2478189639378676,30.0,0.310243642962509,2252.9557122254923
14,488.733880134245,0.1084373769597227,0.3136221413722176,0.1526941294961204,40.0,0.3072646477763886,1590.5958712501165
15,344.4585957391491,0.07642643187110945,0.2782726402862907,0.08443658787078732,50.0,0.3317672145172308,1038.2538740013417
16,255.2056864955041,0.05662352530415195,0.2115269966698206,0.06020464133331362,60.0,0.3272263381183003,779.905700632328
17,180.5981993530325,0.0400700582004111,0.1410739784302698,0.04584496266622817,70.0,0.30502350826227737,592.0796084928097
18,110.6150075735893,0.02454260234703835,0.07777427248017162,0.03138656734952053,80.0,0.2759443917859699,400.8597777895242
19,49.25600793114683,0.01092863113581106,0.02883850483472424,0.01630061112268289,90.0,0.2410519120295412,204.3377607604724
